AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/4/2019,32.8,21,41.8,13.0
2/4/2019,31,20.3,44.5,18.9
3/4/2019,28,20,49.6,3.0
4/4/2019,33.3,22.1,40.3,0.0
5/4/2019,33.4,22,41.2,0.0
6/4/2019,31.9,21.5,40.9,0.0
7/4/2019,31,23,39,0.0
8/4/2019,29.9,22,42.1,0.0
9/4/2019,33,22,35.5,0.0
10/4/2019,34,22.5,41.3,0.0
11/4/2019,33.5,23,37.6,0.0
12/4/2019,31.9,23,37.7,0.0
13/4/2019,29.5,21.1,44.7,0.0
14/4/2019,31.6,21.2,41.6,0.0
15/4/2019,31.6,22,42.8,0.0
16/4/2019,29.6,21.6,43.5,0.0
17/4/2019,32,20.2,42.2,0.0
18/4/2019,33.3,21.4,38,0.0
19/4/2019,30.9,23,41.7,1.8
20/4/2019,30.9,21.5,44.1,0.0
21/4/2019,32.6,22.5,39.3,15.0
22/4/2019,32,21,46.6,3.1
23/4/2019,30.8,22,41,0.0
24/4/2019,28.5,22,45.3,1.0
25/4/2019,31,21,41.4,0.0
26/4/2019,32.2,22,38.8,0.0
27/4/2019,31.6,22,38.9,0.0
28/4/2019,31.6,22.2,39.8,0.0
29/4/2019,32,21,37.8,0.0
30/4/2019,29.9,21.4,40.6,0.0
