AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/8/2019,32,18.8,44.5,0.0
2/8/2019,32.6,21.6,38.8,0.0
3/8/2019,31.6,21.4,42,0.0
4/8/2019,31.8,21.8,44.3,0.0
5/8/2019,32.8,19,42.8,0.0
6/8/2019,32.5,20.4,43.2,0.0
7/8/2019,31.4,23,39.7,0.0
8/8/2019,31.9,22.6,39.2,0.0
9/8/2019,31.8,23.2,40.1,0.0
10/8/2019,29.8,23,41.1,0.0
11/8/2019,31.9,21.8,39.6,0.0
12/8/2019,29.8,23.4,42.5,0.0
13/8/2019,30,22.8,40.8,0.0
14/8/2019,28.8,22.5,43.6,0.0
15/8/2019,32,20.4,41.3,0.0
16/8/2019,31.8,21,41.9,0.0
17/8/2019,29.8,20,45.8,0.0
18/8/2019,31.8,20.8,43.6,0.0
19/8/2019,30.8,23.3,39.8,0.0
20/8/2019,31.8,21.8,40.5,0.0
21/8/2019,30,20,45.5,0.0
22/8/2019,29.9,21,45,0.0
23/8/2019,30.2,21.5,41.9,0.0
24/8/2019,31.2,20.6,42.8,0.0
25/8/2019,31.6,22.8,38.4,0.0
26/8/2019,31.4,23.2,38.5,0.0
27/8/2019,30.2,22.2,39.8,0.0
28/8/2019,30,21.2,42.2,0.0
29/8/2019,31,21,44.6,0.0
30/8/2019,31.8,22.2,42.4,0.0
31/8/2019,32.8,21.4,38.8,0.0
