AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/12/2019,27,22.2,44.8,2.3
2/12/2019,30.6,20.8,43.9,0.0
3/12/2019,31.2,22.8,37.3,3.2
4/12/2019,31.2,22.6,40.3,0.0
5/12/2019,27.4,22.2,47.3,0.0
6/12/2019,29.5,20.8,43.8,0.0
7/12/2019,31.4,22,42.2,0.0
8/12/2019,34.2,21.2,38.8,0.0
9/12/2019,31,19.2,44.4,0.0
10/12/2019,31.8,21.6,37.8,0.0
11/12/2019,36.2,23.4,37,0.0
12/12/2019,35,23,39.6,0.0
13/12/2019,35.4,20.6,38.4,0.0
14/12/2019,35.4,21.4,36.9,0.0
15/12/2019,33.6,22,38.3,0.0
16/12/2019,29.2,23,41.7,0.0
17/12/2019,29,23,43,0.0
18/12/2019,27.2,21.4,49.6,2.8
19/12/2019,27.2,20,50,1.7
20/12/2019,30,21.6,42.9,0.0
21/12/2019,32.2,22,40.8,0.0
22/12/2019,32.2,22,39.5,0.0
23/12/2019,31.6,23,40.4,0.0
24/12/2019,31.6,21.6,40,0.0
25/12/2019,34.2,22.6,37.1,0.0
26/12/2019,32,23.2,38.2,0.0
27/12/2019,33.4,22.8,39.6,4.2
28/12/2019,30.2,21.4,41.6,5.2
29/12/2019,29.9,21,44,4.0
30/12/2019,29.9,21,43.5,0.0
31/12/2019,32.8,21.6,38.7,0.0
