AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/1/2019,32.6,22,38.8,0.0
2/1/2019,31.2,23,39.7,0.0
3/1/2019,31.6,22.6,39.5,0.0
4/1/2019,29.6,22.5,44.3,0.0
5/1/2019,31.8,22,40.7,0.0
6/1/2019,34.6,20.6,37.2,0.0
7/1/2019,29.3,22.4,44.7,0.0
8/1/2019,31.8,22,38.4,0.0
9/1/2019,32,21.7,37.3,0.0
10/1/2019,29.6,22.1,45.2,0.0
11/1/2019,32.6,21.7,39.3,0.0
12/1/2019,32.8,20.4,40.2,0.0
13/1/2019,33,20.3,38.2,0.0
14/1/2019,31.8,23,37.3,0.0
15/1/2019,27.9,23.2,47.6,0.0
16/1/2019,29.7,21,45,0.0
17/1/2019,29.8,20.6,44,0.0
18/1/2019,29,21.4,44,0.0
19/1/2019,31,21,40.1,0.0
20/1/2019,32.6,20,41.8,0.0
21/1/2019,29.9,22.4,44.5,0.0
22/1/2019,30.8,19.8,42.2,0.0
23/1/2019,31.8,21,42,0.0
24/1/2019,28,22,44.9,0.0
25/1/2019,31.9,21.9,36.1,0.0
26/1/2019,32.6,22.6,38.3,0.0
27/1/2019,34,23.1,34.3,0.0
28/1/2019,32.8,23,40,0.0
29/1/2019,30.8,21.6,40.8,0.0
30/1/2019,31,21.2,42.2,0.0
31/1/2019,29.4,21,45.1,0.0
