AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/2/2019,29,22,S/D,0.0
2/2/2019,30,22,42.7,0.0
3/2/2019,28.5,22.2,42,0.0
4/2/2019,32.2,20.1,42.9,0.0
5/2/2019,31.2,21,41.7,0.0
6/2/2019,31.2,21.8,41,0.0
7/2/2019,30.9,20.2,44.2,0.0
8/2/2019,30.6,20.1,45.4,0.0
9/2/2019,27.8,21.5,47.6,0.0
10/2/2019,30.6,21.6,41.3,0.0
11/2/2019,31.5,20.2,42.8,0.0
12/2/2019,28,21.4,45.5,20.0
13/2/2019,29.9,21.1,39,0.0
14/2/2019,32.6,19.6,38.9,0.0
15/2/2019,31.8,22,37.6,0.0
16/2/2019,29,22.4,46.5,0.0
17/2/2019,30.6,21.6,41.8,0.0
18/2/2019,31.6,22.6,37.2,0.0
19/2/2019,28.8,22.6,43.8,7.8
20/2/2019,28.8,20.6,46.3,0.0
21/2/2019,29,21.8,41.9,0.0
22/2/2019,31.2,21.4,39.7,0.0
23/2/2019,27.8,22.8,44.4,0.0
24/2/2019,34.6,21,36.9,18.1
25/2/2019,27,20.2,51.1,2.6
26/2/2019,28.6,21.4,45.9,3.8
27/2/2019,30.8,20.2,42.7,0.0
28/2/2019,31.8,20.6,43.2,0.0
