AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/7/2019,32,21.1,38.8,0.0
2/7/2019,31.6,20.5,41,0.0
3/7/2019,31.9,22,38.8,0.0
4/7/2019,31.8,21.2,39.5,0.0
5/7/2019,31.9,22,41.4,0.0
6/7/2019,32,21.2,40.5,0.0
7/7/2019,29,20,44,0.0
8/7/2019,30.8,20.3,42.2,0.0
9/7/2019,31.6,19.8,40.9,0.0
10/7/2019,29.8,21.4,45,0.0
11/7/2019,32.2,21.2,40.1,0.0
12/7/2019,32,21,38.7,0.0
13/7/2019,30.8,21,44.6,3.3
14/7/2019,26.8,20.1,48.1,5.2
15/7/2019,29,18.4,47.6,0.0
16/7/2019,28.9,21,44.7,0.0
17/7/2019,27.9,20.8,43.3,0.0
18/7/2019,29,20.2,46,0.0
19/7/2019,29.5,20.9,41.7,0.0
20/7/2019,28.5,19.8,45.1,0.0
21/7/2019,30.5,20.2,44.6,0.0
22/7/2019,30.8,20.9,44.5,0.0
23/7/2019,30.8,20.8,42.3,0.0
24/7/2019,30.6,21.2,42.7,0.0
25/7/2019,32.5,21.6,36.6,0.0
26/7/2019,30.6,21.2,42.1,0.0
27/7/2019,30.8,20.7,46.6,0.0
28/7/2019,29,20,47.7,0.0
29/7/2019,31,20.2,42.6,0.0
30/7/2019,30.9,21.1,38.4,0.0
31/7/2019,33,19.6,42.6,0.0
