AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/6/2019,33.4,21.2,44.4,0.0
2/6/2019,32.2,21.8,37.7,0.0
3/6/2019,31.8,22.4,39.7,0.0
4/6/2019,31.8,21.2,40.8,0.0
5/6/2019,31.8,22,38.8,0.0
6/6/2019,31.9,21.2,41.7,0.0
7/6/2019,32.4,21.2,40.3,0.0
8/6/2019,30.8,21.4,40.9,0.0
9/6/2019,31.2,22.6,39.9,0.0
10/6/2019,32,21.2,41.6,0.0
11/6/2019,32.6,22.1,41.8,0.0
12/6/2019,30.6,22,40.3,0.0
13/6/2019,32,22.2,41.2,0.0
14/6/2019,32,22.1,39.1,0.0
15/6/2019,31.9,22.2,38.5,0.0
16/6/2019,29.9,21,41.7,0.0
17/6/2019,30,21.2,41,0.0
18/6/2019,29.5,22,42.5,0.0
19/6/2019,29.9,21.6,42.3,0.0
20/6/2019,29.9,22,41.5,0.0
21/6/2019,31.2,21.4,40.9,0.0
22/6/2019,31.2,21.4,40.1,0.0
23/6/2019,31.5,21.8,38.7,0.0
24/6/2019,31.8,19.6,40.5,0.0
25/6/2019,33.5,19.2,42,0.0
26/6/2019,31.5,21.6,38.8,0.0
27/6/2019,28.5,20,45.7,0.0
28/6/2019,28.8,21,44.1,0.0
29/6/2019,28.8,21.2,43.2,0.0
30/6/2019,31.9,20.6,42.6,0.0
