AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/3/2019,29.5,21.2,44.1,0.0
2/3/2019,29.8,20.2,46.6,0.0
3/3/2019,32,22,39.4,0.0
4/3/2019,30.2,22.1,44.4,0.0
5/3/2019,31.2,22,46.4,0.0
6/3/2019,30.3,22,44.7,0.0
7/3/2019,29.3,21.5,41.3,0.0
8/3/2019,31.2,24,35.5,0.0
9/3/2019,32.3,23.1,36.8,0.0
10/3/2019,30.2,23.5,39.4,0.0
11/3/2019,30.9,21,42.6,0.0
12/3/2019,33,21.4,42.6,0.0
13/3/2019,32,23,35.8,0.0
14/3/2019,30.6,21.3,43.4,0.0
15/3/2019,32.6,22.4,39.3,2.6
16/3/2019,31.6,20,43.3,0.0
17/3/2019,31.5,22,40.1,8.7
18/3/2019,30.6,20.6,44.8,1.9
19/3/2019,30.9,22,41.5,27.5
20/3/2019,30.6,20.5,47.3,9.0
21/3/2019,30.6,22.2,44.8,27.2
22/3/2019,28.2,20.1,48.6,0.0
23/3/2019,29.3,22.1,44.4,0.0
24/3/2019,29.6,21.5,41.1,0.0
25/3/2019,29.6,22.2,44.5,0.0
26/3/2019,28.8,21.8,42.9,0.0
27/3/2019,29.6,21.2,43.4,0.0
28/3/2019,29.5,22.4,43,0.0
29/3/2019,32,21.2,41.6,0.0
30/3/2019,31.8,22.2,39.3,0.0
31/3/2019,32.6,22.2,38.1,0.0
