AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/5/2019,31.2,21.4,39.3,0.0
2/5/2019,30.8,22.2,39.9,0.0
3/5/2019,28.5,22,45.5,0.0
4/5/2019,28.4,19.6,46.1,0.0
5/5/2019,27.6,20.2,53.4,0.0
6/5/2019,31.6,22.4,39.1,0.0
7/5/2019,31,21.4,40.1,0.0
8/5/2019,32.8,21.2,39,0.0
9/5/2019,31,23,38.6,0.0
10/5/2019,32,20,43.3,0.0
11/5/2019,31,21.1,41,0.0
12/5/2019,30.6,22,41.8,0.0
13/5/2019,27.8,21.2,50.7,0.0
14/5/2019,29.8,20,44.6,0.0
15/5/2019,31.4,21.2,39.7,0.0
16/5/2019,32.2,20.4,39.5,0.0
17/5/2019,33,21,38.5,0.0
18/5/2019,33,21.2,40.1,0.0
19/5/2019,33.2,19.4,39.5,0.0
20/5/2019,32.8,22,39.6,0.0
21/5/2019,32.2,21.2,39.1,0.0
22/5/2019,32.6,22.2,40.6,0.0
23/5/2019,32,22.4,40.8,0.0
24/5/2019,30.5,21,44.8,0.0
25/5/2019,29.9,21.2,44.4,0.0
26/5/2019,30.9,20.6,42,0.0
27/5/2019,33.5,21.2,38.6,0.0
28/5/2019,31.6,21.4,39.9,0.0
29/5/2019,29.6,20.8,46.6,0.0
30/5/2019,32.8,20.6,43.1,0.0
31/5/2019,32.4,22,37.1,0.0
