AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/11/2019,32.2,19.2,41,10.3
2/11/2019,32.3,19,42,0.0
3/11/2019,32.2,21,40.3,0.0
4/11/2019,31.8,20.4,45.3,0.0
5/11/2019,29.9,22.2,42.1,0.0
6/11/2019,30.9,21,41.6,0.0
7/11/2019,30.8,21.8,41.3,0.0
8/11/2019,30.9,21.6,42.1,0.0
9/11/2019,33.2,22,38.7,0.0
10/11/2019,28.9,20.4,47.2,7.0
11/11/2019,28,21,45,1.0
12/11/2019,32,20.6,41.9,0.0
13/11/2019,35.4,20.8,39.7,0.0
14/11/2019,33,22,40.4,0.0
15/11/2019,35.2,21,36.5,0.0
16/11/2019,34,21.8,35.9,0.0
17/11/2019,36,21.6,36.4,0.0
18/11/2019,35.6,20,42.3,0.0
19/11/2019,33.8,20,45.4,0.0
20/11/2019,34.4,20.4,44.5,0.0
21/11/2019,35,23,36.4,0.0
22/11/2019,35.2,20,41.8,0.0
23/11/2019,31.9,21.4,41.6,0.0
24/11/2019,30.4,20.6,44.4,0.0
25/11/2019,30.3,22,44.4,0.0
26/11/2019,31.4,22,41,0.0
27/11/2019,31.2,21.4,42.3,0.0
28/11/2019,30.6,21.4,42.9,0.0
29/11/2019,31.4,22.2,40,0.0
30/11/2019,31,21,42.5,2.0
