AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/10/2019,34,22.2,38.9,0.0
2/10/2019,34.8,21.7,37.3,0.0
3/10/2019,27.5,20.3,45.7,0.0
4/10/2019,31.8,20.2,43.8,0.0
5/10/2019,35,21.6,37,0.0
6/10/2019,31.5,22,39.3,0.0
7/10/2019,30.9,19.6,46.4,2.0
8/10/2019,29.5,19.2,45.9,0.0
9/10/2019,31.3,20,42.8,0.0
10/10/2019,29.8,20.6,43.6,0.0
11/10/2019,33.8,23,38.6,0.0
12/10/2019,30.8,22.1,42.2,0.0
13/10/2019,29.9,23,42.7,0.0
14/10/2019,29.6,22.3,43.9,0.0
15/10/2019,30,21.9,40.5,0.0
16/10/2019,29.8,20.2,48.4,2.4
17/10/2019,29.9,20.6,46.4,0.0
18/10/2019,30,19.6,44.3,0.0
19/10/2019,29.9,22.5,44,0.0
20/10/2019,29.2,20.8,45.3,0.0
21/10/2019,31,21.8,41.1,0.0
22/10/2019,32,22.6,39.6,2.0
23/10/2019,32.6,20.2,41.7,0.0
24/10/2019,30,20.2,43.9,0.0
25/10/2019,30.9,20.2,44.5,0.0
26/10/2019,31.6,22.2,40.7,0.0
27/10/2019,32,20.8,39.8,0.0
28/10/2019,32.2,20.2,45.1,0.0
29/10/2019,32.8,21.2,38.8,0.0
30/10/2019,32.2,21,44.2,0.0
31/10/2019,29.8,23,42.8,0.0
