AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/9/2019,31,23.2,36.1,0.0
2/9/2019,34.8,21.6,40.4,0.0
3/9/2019,32.3,21.3,40.1,0.0
4/9/2019,31.8,20.8,41.7,0.0
5/9/2019,31.5,21.8,41,0.0
6/9/2019,30.8,21.4,42.7,0.0
7/9/2019,32,21,41.8,0.0
8/9/2019,31.8,20.2,43,0.0
9/9/2019,33,22.2,37.9,0.0
10/9/2019,31.9,22.2,41.3,0.0
11/9/2019,31,23.2,38.6,0.0
12/9/2019,31.9,23.2,37.1,0.0
13/9/2019,30.9,22.5,41,0.0
14/9/2019,31.6,21.8,38.8,0.0
15/9/2019,32,22.3,39.6,0.0
16/9/2019,32.8,22.2,37.1,0.0
17/9/2019,35.2,23,39.2,0.0
18/9/2019,35,22.2,40.6,0.0
19/9/2019,35.2,23.2,38.9,0.0
20/9/2019,31,22.8,40.8,0.0
21/9/2019,28,22.6,43.4,0.0
22/9/2019,33.2,22.8,36.9,0.0
23/9/2019,29,21.6,41.9,0.0
24/9/2019,32,20,42.1,0.0
25/9/2019,34,22,42,0.0
26/9/2019,29,22.2,41.5,0.0
27/9/2019,32.2,22,39.2,0.0
28/9/2019,32.2,20.8,42.8,0.0
29/9/2019,36,21.6,36.5,0.0
30/9/2019,36,23.2,38,0.0
